group,TD-DOA,keyword
Legal,371,RTW
Legal,278,MAB
Legal,253,MAB-2nd
Legal,281,DS - Succeed
Legal,43,RTW
Legal,190,DS
Legal,200,MAB
Legal,190,RTW
Legal,446,MAB
Legal,311,DS
Legal,311,RTW
Legal,311,DS
Legal,311,RTW
Legal,347,DS
Legal,347,RTW
Legal,668,MAB-2nd
Legal,119,RTW
Legal,511,DS
Legal,530,DS - Succeed
Legal,541,DS
Legal,21,file screening
Legal,27,file screening
Legal,43,RTW
Legal,167,DS
Legal,184,DS
Legal,364,MAB
Legal,510,DS
Legal,595,MAB-2nd
Legal,644,DS
Legal,166,file screening
Legal,264,RTW
Legal,39,file screening
Legal,55,file screening
Legal,285,MAB
Legal,41,file screening
Legal,42,file screening
Legal,50,HLM
Legal,224,MAB
Legal,245,DS
Legal,245,DS
Legal,267,DS-Legal
Legal,308,MAB-2nd
Legal,298,DS
Legal,308,MAB
Legal,434,DS
Legal,66,file screening
Legal,430,MAB
Legal,430,MAB
Legal,562,DS
Legal,564,DS
Legal,564,DS - Succeed
Legal,639,DS - Succeed
Legal,301,DS
Legal,477,MAB
Legal,477,MAB
Legal,385,DS
Legal,385,RTW
Legal,477,MAB
Legal,467,RTW
Legal,477,MAB
Legal,576,MAB-2nd
Legal,580,DS
Legal,477,MAB
DS,257,DS
DS,319,DS
Normal,41,RTW
Normal,79,RTW
Normal,100,RTW
Normal,152,RTW
Normal,286,MAB
Normal,261,HLM
Normal,261,RTW
Normal,286,MAB
Normal,275,RTW
Normal,286,MAB
Normal,292,RTW
Normal,286,MAB
Normal,306,RTW
Legal,139,MAB
Legal,125,RTW
Legal,284,RTW
Legal,312,HLM
Legal,37,RTW
Legal,117,RTW
Legal,121,RTW
Legal,132,RTW
Legal,264,MAB
Legal,282,HLM
Legal,289,DS
Legal,296,Legal
Legal,296,DS
Legal,296,RTW
Legal,186,DS
Legal,186,RTW
Legal,231,DS
Legal,231,RTW
Legal,288,DS
Legal,456,DS
Legal,153,MAB
Legal,217,MAB
Legal,185,file screening
Legal,267,DS
Legal,225,MAB
Legal,222,MAB
Legal,214,RTW
Legal,219,RTW
Legal,297,DS
Legal,319,DS
Legal,388,MAB-2nd
Legal,344,DS
Legal,474,DS
Legal,80,HLM
Legal,83,file screening
Legal,83,HLM
Legal,83,RTW
Legal,218,MAB
Legal,241,Legal
Legal,344,MAB-2nd
Legal,14,file screening
Legal,61,file screening
Legal,188,MAB
Legal,188,MAB
Legal,169,RTW
Legal,211,DS
Legal,215,DS
Legal,300,MAB-2nd
Legal,300,MAB-2nd
Legal,315,DS
Legal,300,MAB-2nd
Legal,336,DS
Normal,45,RTW
Normal,106,MAB
DS,395,MAB
DS,681,DS
Normal,8,file screening
Normal,41,RTW
Normal,133,MAB
Normal,1293,MAB
Normal,1293,MAB-2nd
Normal,1459,MAB-2nd
Normal,744,MAB
Normal,527,RTW
Normal,982,MAB-2nd
Normal,101,RTW
Normal,12,file screening
Normal,57,RTW
Normal,193,MAB
Normal,343,HLM
DS,310,MAB
DS,442,MAB
DS,259,RTW
DS,442,MAB
DS,561,MAB-2nd
DS,259,RTW
DS,475,DS
DS,577,DS - Succeed
Normal,31,HLM
DS,206,MAB
DS,256,DS
DS,267,DS - Succeed
DS,587,DS
DS,591,DS - Succeed
DS,314,DS
DS,265,MAB
DS,482,MAB-2nd
DS,483,RTW
DS,526,RTW
DS,426,MAB
DS,587,MAB-2nd
DS,476,DS
Normal,43,HLM
Normal,20,file screening
Normal,522,MAB
Normal,1498,MAB
Normal,1181,MAB
Normal,611,MAB
Legal,33,file screening
Legal,22,RTW
Legal,202,MAB
Legal,97,file screening
Legal,290,RTW
Legal,374,DS
Legal,567,MAB-2nd
Normal,343,MAB
DS,91,file screening
DS,415,DS
DS,395,RTW
Normal,82,file screening
DS,37,RTW
DS,509,MAB
DS,505,MAB
DS,585,DS
DS,670,DS - Succeed
DS,678,MAB
DS,852,DS
DS,1124,DS
DS,1130,DS
Normal,232,MAB
Normal,99,file screening
Normal,560,MAB
Normal,498,RTW
Normal,627,RTW
Normal,821,RTW
Normal,1319,MAB
Normal,44,RTW
Normal,22,file screening
Normal,17,file screening
Normal,621,MAB
Normal,509,RTW
Normal,740,MAB-2nd
Normal,367,MAB
Normal,202,RTW
Normal,397,MAB
Normal,145,RTW
Normal,223,MAB
Normal,124,RTW
Normal,11,file screening
Normal,313,MAB
Normal,159,RTW
Normal,307,MAB
Normal,573,MAB
Normal,7,file screening
Normal,35,file screening
Normal,436,MAB
Normal,356,RTW
Normal,355,MAB
DS,251,DS
DS,711,RTW
